property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,area,purpose,bedrooms,date_added,agency,agent,Area Type,Area Size,Area Category
237062,3325,https://www.zameen.com/Property/g_10_g_10_2_ground_floor_corner_apartment_with_green_lawn_for_sale-237062-3325-1.html,Flat,10000000,G-10,Islamabad,Islamabad Capital,33.67989,73.01264,2,4 Marla,For Sale,2,02-04-2019,,,Marla,4.0,0-5 Marla
346905,3236,https://www.zameen.com/Property/e_11_2_services_society_flat_available_for_sale-346905-3236-1.html,Flat,6900000,E-11,Islamabad,Islamabad Capital,33.700993,72.971492,3,5.6 Marla,For Sale,3,05-04-2019,,,Marla,5.6,5-10 Marla
386513,764,https://www.zameen.com/Property/islamabad_g_15_house_is_available_for_sale-386513-764-1.html,House,16500000,G-15,Islamabad,Islamabad Capital,33.631485999999995,72.926559,6,8 Marla,For Sale,5,07-17-2019,,,Marla,8.0,5-10 Marla
656161,340,https://www.zameen.com/Property/islamabad_bani_gala_a_rare_minimalist_concept_in_a_quiet_location-656161-340-1.html,House,43500000,Bani Gala,Islamabad,Islamabad Capital,33.707572937012,73.15119934082,4,2 Kanal,For Sale,4,04-05-2019,,,Kanal,2.0,1-5 Kanal
841645,3226,https://www.zameen.com/Property/dha_valley_dha_homes_islamabad_dha_valley_8_marla_home_for_sale-841645-3226-1.html,House,7000000,DHA Defence,Islamabad,Islamabad Capital,33.492591,73.301339,3,8 Marla,For Sale,3,07-10-2019,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,Marla,8.0,5-10 Marla
850762,3390,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_1_house_is_available_for_sale_in_ghauri_town_phase_1-850762-3390-1.html,House,34500000,Ghauri Town,Islamabad,Islamabad Capital,33.623946999999994,73.126588,8,1.6 Kanal,For Sale,8,04-05-2019,,,Kanal,1.6,1-5 Kanal
937975,445,https://www.zameen.com/Property/islamabad_korang_town_1_kanal_double_storey_corner_house__for_sale-937975-445-1.html,House,27000000,Korang Town,Islamabad,Islamabad Capital,33.579034,73.13959100000001,8,1 Kanal,For Sale,8,01-04-2019,,,Kanal,1.0,1-5 Kanal
1258636,3241,https://www.zameen.com/Property/e_11_e_11_4_apartment_for_sale_in_e_11_4-1258636-3241-1.html,Flat,7800000,E-11,Islamabad,Islamabad Capital,33.698244,72.984238,2,6.2 Marla,For Sale,2,05-05-2019,Ettemad Enterprises,Balqiaz Marwat,Marla,6.2,5-10 Marla
1402466,376,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_dha_phase_1_sector_e_1st_avenue_one_kanal_with_basement_house_for_sale-1402466-376-1.html,House,50000000,DHA Defence,Islamabad,Islamabad Capital,33.540894,73.095732,7,1 Kanal,For Sale,7,10-19-2018,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,Kanal,1.0,1-5 Kanal
1418706,3282,https://www.zameen.com/Property/f_11_f_11_1_f_11_1_penthouse_for_sale_in_executive_suites-1418706-3282-1.html,Penthouse,40000000,F-11,Islamabad,Islamabad Capital,33.679210999999995,72.988787,5,1 Kanal,For Sale,5,06-27-2019,Crown Associate,Abrar Ahmed,Kanal,1.0,1-5 Kanal
1425602,429,https://www.zameen.com/Property/islamabad_diplomatic_enclave_apartment_for_sale_in_diplomatic_enclave-1425602-429-1.html,Flat,35000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,3,7.1 Marla,For Sale,3,06-03-2019,Al Sahar Estate,Zahid H. Usmani,Marla,7.1,5-10 Marla
1586658,429,https://www.zameen.com/Property/islamabad_diplomatic_enclave_urgently_for_sale__2_bedroom_apartment_in_diplomatic_enclave-1586658-429-1.html,Flat,48000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,2,7.8 Marla,For Sale,2,02-04-2019,Al Sahar Estate,Zahid H. Usmani,Marla,7.8,5-10 Marla
1623818,3300,https://www.zameen.com/Property/f_6_f_6_2_house_for_sale_in_f_6_2-1623818-3300-1.html,House,400000000,F-6,Islamabad,Islamabad Capital,33.731531596441,73.065696358681,0,4.5 Kanal,For Sale,0,07-04-2019,,,Kanal,4.5,1-5 Kanal
1665024,11905,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_2_askari_towers_2_islamabad_flat_for_sale-1665024-11905-1.html,Flat,13500000,DHA Defence,Islamabad,Islamabad Capital,33.538087,73.164536,5,10 Marla,For Sale,3,06-04-2019,,,Marla,10.0,5-10 Marla
1879795,329,https://www.zameen.com/Property/islamabad_e_11_flat_for_sale_in_e11_one_bed_tvl-1879795-329-1.html,Flat,3600000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,1,3.1 Marla,For Sale,1,07-03-2019,Ettemad Enterprises,Ettemad,Marla,3.1,0-5 Marla
1879796,329,https://www.zameen.com/Property/islamabad_e_11_flat_for_sale_in_e_11-1879796-329-1.html,Flat,5000000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,2,4 Marla,For Sale,2,05-05-2019,Ettemad Enterprises,Ettemad,Marla,4.0,0-5 Marla
1947817,3075,https://www.zameen.com/Property/dha_phase_1_sector_f_dha_phase_1_defence_villas_fantastic_location_brand_new_3_bed_defence_villa_for_sale-1947817-3075-1.html,House,19000000,DHA Defence,Islamabad,Islamabad Capital,33.508481,73.091826,3,10 Marla,For Sale,3,06-20-2019,Infinity Properties,Ali,Marla,10.0,5-10 Marla
2230469,9057,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_sector_b1_dha_phase_1__sector_b1_two_kanal_house_for_sale-2230469-9057-1.html,House,80000000,DHA Defence,Islamabad,Islamabad Capital,33.541728000000006,73.094103,7,2 Kanal,For Sale,7,07-16-2019,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,Kanal,2.0,1-5 Kanal
2234957,3116,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_block_a_house_for_sale_in_mpchs__multi_gardens_b17_islamabad-2234957-3116-1.html,House,26900000,B-17,Islamabad,Islamabad Capital,33.694495,72.82665300000001,6,1 Kanal,For Sale,6,02-04-2019,,,Kanal,1.0,1-5 Kanal
2384979,424,https://www.zameen.com/Property/islamabad_pwd_housing_scheme_apartment_available_for_sale_in_newly_build_building_already_rented-2384979-424-1.html,Flat,1750000,PWD Housing Scheme,Islamabad,Islamabad Capital,33.570792,73.145256,0,1.5 Marla,For Sale,0,06-13-2019,Paris Real Estate & Builders,Chaudhary Naveed,Marla,1.5,0-5 Marla
2642166,3331,https://www.zameen.com/Property/g_11_g_11_2_40x80_house_is_available_for_sale-2642166-3331-1.html,House,55000000,G-11,Islamabad,Islamabad Capital,33.671640000000004,72.99165500000001,7,14 Marla,For Sale,6,07-17-2019,,,Marla,14.0,10-15 Marla
2642249,156,https://www.zameen.com/Property/islamabad_bhara_kahu_double_storey_house_having_two_portions-2642249-156-1.html,House,4500000,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,3,5 Marla,For Sale,3,02-04-2019,,,Marla,5.0,0-5 Marla
2651838,340,https://www.zameen.com/Property/islamabad_bani_gala_6_kanal_farm_house_in_bani_gala_3_side_corner-2651838-340-1.html,Farm House,88500000,Bani Gala,Islamabad,Islamabad Capital,33.713488,73.16268000000001,3,6 Kanal,For Sale,3,03-06-2019,,,Kanal,6.0,5-10 Kanal
2682075,429,https://www.zameen.com/Property/islamabad_diplomatic_enclave_brand_new_apartment_in_diplomatic_enclave-2682075-429-1.html,Flat,47000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,2,8.4 Marla,For Sale,3,05-05-2019,Al Sahar Estate,Zahid H. Usmani,Marla,8.4,5-10 Marla
2771097,8257,https://www.zameen.com/Property/islamabad_garden_town_house_for_sale_in_garden_town_islamabad-2771097-8257-1.html,House,4500000,Garden Town,Islamabad,Islamabad Capital,33.636132,73.11392099999999,4,4.7 Marla,For Sale,4,01-05-2019,,,Marla,4.7,0-5 Marla
2842741,3460,https://www.zameen.com/Property/islamabad_koral_town_outstanding_4_marla_double_storey_house_for_sale_in_koral_chowk_near_to_gulberg_islamabad-2842741-3460-1.html,House,6800000,Koral Town,Islamabad,Islamabad Capital,33.602038,73.141966,4,4 Marla,For Sale,4,07-17-2019,,,Marla,4.0,0-5 Marla
2873584,3491,https://www.zameen.com/Property/soan_garden_soan_garden_block_a_house_for_sale_in_soan_garden__block_a-2873584-3491-1.html,House,20000000,Soan Garden,Islamabad,Islamabad Capital,33.569648,73.151522,5,12 Marla,For Sale,6,06-29-2019,,,Marla,12.0,10-15 Marla
2883507,157,https://www.zameen.com/Property/islamabad_blue_area_f_8_elysium_tower_blue_area__we_offer_1_bed_luxury_apartments_for_sale_booking_start_now-2883507-157-1.html,Flat,19400000,Blue Area,Islamabad,Islamabad Capital,33.713845,73.06097,1,4.3 Marla,For Sale,1,06-27-2019,Crown Associate,Abrar Ahmed,Marla,4.3,0-5 Marla
3098002,3299,https://www.zameen.com/Property/f_6_f_6_1_brand_new_house_for_sale-3098002-3299-1.html,House,100000000,F-6,Islamabad,Islamabad Capital,33.72402,73.074524,5,17.8 Marla,For Sale,5,01-05-2019,Property Syendicate,Rizwan Shafqat,Marla,17.8,15-20 Marla
3101600,3332,https://www.zameen.com/Property/g_11_g_11_3_residential_flat_2_bed_is_available_in_one_in_crown_tower_for_sale-3101600-3332-1.html,Flat,8000000,G-11,Islamabad,Islamabad Capital,33.675604,73.000367,2,6.7 Marla,For Sale,2,05-05-2019,Ettemad Enterprises,Balqiaz Marwat,Marla,6.7,5-10 Marla
3166573,329,https://www.zameen.com/Property/islamabad_e_11_e11_main_margalla_road_capital_resort_new_booking-3166573-329-1.html,Flat,6300000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,3,5.3 Marla,For Sale,3,05-05-2019,Ettemad Enterprises,Ettemad,Marla,5.3,5-10 Marla
3285142,3307,https://www.zameen.com/Property/f_7_f_7_1_duplex_pair_house_for_sale-3285142-3307-1.html,House,220000000,F-7,Islamabad,Islamabad Capital,33.716274,73.05624,10,2.1 Kanal,For Sale,10,01-05-2019,Property Syendicate,Rizwan Shafqat,Kanal,2.1,1-5 Kanal
3310804,3394,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_4_house_for_sale-3310804-3394-1.html,House,4500000,Ghauri Town,Islamabad,Islamabad Capital,33.61855,73.135471,3,5 Marla,For Sale,2,11-06-2018,,,Marla,5.0,0-5 Marla
3371338,3436,https://www.zameen.com/Property/i_16_i_16_2_8_marla_house_for_sale-3371338-3436-1.html,House,12500000,I-16,Islamabad,Islamabad Capital,33.594496,72.92659499999999,5,8 Marla,For Sale,6,07-04-2019,,,Marla,8.0,5-10 Marla
3626467,343,https://www.zameen.com/Property/islamabad_e_7_extraordinary_location_close_to_faisal_mosque_1244_sq_yd_house-3626467-343-1.html,House,230000000,E-7,Islamabad,Islamabad Capital,33.727409,73.04758100000001,4,2.5 Kanal,For Sale,4,06-12-2019,Zorje Pvt Ltd,Obaid Abbasi,Kanal,2.5,1-5 Kanal
858689,3190,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_sector_b_islamabad_dha_phase_1_sector_b__one_kanal_house_for_rent-858689-3190-4.html,House,110000,DHA Defence,Islamabad,Islamabad Capital,33.542039,73.093414,5,1 Kanal,For Rent,5,10-20-2018,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,Kanal,1.0,1-5 Kanal
877435,165,https://www.zameen.com/Property/islamabad_f_7_good_house_for_rent-877435-165-4.html,House,600000,F-7,Islamabad,Islamabad Capital,33.720413,73.056493,6,2 Kanal,For Rent,6,10-20-2018,Nexus Estate Services,Ch Afzal/ Ch Faisal/ Ch Adeel,Kanal,2.0,1-5 Kanal
981663,3349,https://www.zameen.com/Property/g_15_g_15_2_g_15_2_ground_portion_is_available_for_rent-981663-3349-4.html,Lower Portion,33000,G-15,Islamabad,Islamabad Capital,33.633416,72.91821999999999,2,8 Marla,For Rent,2,10-20-2018,,,Marla,8.0,5-10 Marla
1838236,1378,https://www.zameen.com/Property/islamabad_pakistan_town_1_2_kanal_independent_house_for_rent__option_of_adittional_1_2_kanal_empty_plot_at_back_to_be_included_as_backyard_lawn_or_garden-1838236-1378-4.html,House,45000,Pakistan Town,Islamabad,Islamabad Capital,33.575404999999996,73.143325,5,1.2 Kanal,For Rent,3,07-11-2019,,,Kanal,1.2,1-5 Kanal
1871937,156,https://www.zameen.com/Property/islamabad_bhara_kahu_brand_new_portion_for_rent-1871937-156-4.html,Upper Portion,12000,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,2,5 Marla,For Rent,2,02-04-2019,,,Marla,5.0,0-5 Marla
1923026,165,https://www.zameen.com/Property/islamabad_f_7_beautiful_home_for_rent_in_f_7_islamabad-1923026-165-4.html,House,175000,F-7,Islamabad,Islamabad Capital,33.720413,73.056493,4,13.3 Marla,For Rent,4,06-04-2019,,,Marla,13.3,10-15 Marla
2040534,9014,https://www.zameen.com/Property/islamabad_islamabad_expressway_ground_portion_is_available_for_rent_near_tm_cng_service_road_khanna_pul_expressway_islamabad-2040534-9014-4.html,Lower Portion,17000,Islamabad Expressway,Islamabad,Islamabad Capital,33.632166,73.11150699999999,2,5 Marla,For Rent,2,02-04-2019,,,Marla,5.0,0-5 Marla
2922894,3300,https://www.zameen.com/Property/f_6_f_6_2_house__23_for_rent_in_street_no_22__f62-2922894-3300-4.html,House,1022000,F-6,Islamabad,Islamabad Capital,33.731334999999994,73.068473,8,2 Kanal,For Rent,8,07-04-2019,,,Kanal,2.0,1-5 Kanal
3191268,164,https://www.zameen.com/Property/islamabad_f_6_luxurious_and_contemporary_triple_story_7_bed_huge_house-3191268-164-4.html,House,900000,F-6,Islamabad,Islamabad Capital,33.730907,73.074431,8,2.4 Kanal,For Rent,7,06-20-2019,Zorje Pvt Ltd,Obaid Abbasi,Kanal,2.4,1-5 Kanal
3347676,3299,https://www.zameen.com/Property/f_6_f_6_1_house_portion_is__for_rent_in_f_6_1-3347676-3299-4.html,Lower Portion,200000,F-6,Islamabad,Islamabad Capital,33.724018,73.074524,3,16 Marla,For Rent,3,04-05-2019,Property Syendicate,Rizwan Shafqat,Marla,16.0,15-20 Marla
3349054,329,https://www.zameen.com/Property/islamabad_e_11_beautiful_1_kanal_full_house_for_rent-3349054-329-4.html,House,265000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,7,2 Kanal,For Rent,7,05-05-2019,,,Kanal,2.0,1-5 Kanal
3577153,3377,https://www.zameen.com/Property/g_8_g_8_2_fully_furnished_ground_portion_for_rent_in_g_8_2-3577153-3377-4.html,Lower Portion,60000,G-8,Islamabad,Islamabad Capital,33.698065,73.044612,2,9.3 Marla,For Rent,2,05-05-2019,,,Marla,9.3,5-10 Marla
347795,8,https://www.zameen.com/Property/lahore_model_town_6_kanal_excellent_house_for_sale_in_model_town-347795-8-1.html,House,220000000,Model Town,Lahore,Punjab,31.483868658082,74.325685501099,0,6 Kanal,For Sale,0,07-17-2019,Real Biz International,Usama Khan,Kanal,6.0,5-10 Kanal
482892,48,https://www.zameen.com/Property/lahore_multan_road_1_kanal_house_for_sale-482892-48-1.html,House,40000000,Multan Road,Lahore,Punjab,31.431593,74.17998,5,1 Kanal,For Sale,5,10-06-2018,Khan Estate,mohsinkhan and B,Kanal,1.0,1-5 Kanal
